,date,spot_volume_daily_sum,spot_selling_volume_sum,spot_buying_volume_sum,AGG_Volume
821,2021-06-28 00:00:00+00:00,6184968887.333534,3089661002.6849833,3095307884.6485505,249669225.0
822,2021-06-29 00:00:00+00:00,7631899235.015006,3759819839.535957,3872079395.479049,258077032.04250336
823,2021-06-30 00:00:00+00:00,6323312759.87991,3266680628.915818,3056632130.964092,198436223.44493866
824,2021-07-01 00:00:00+00:00,6025438451.616405,3068765721.4321656,2956672730.1842394,195042271.29592896
825,2021-07-02 00:00:00+00:00,4686306512.613127,2348493780.18439,2337812732.428737,181677343.51501465
826,2021-07-03 00:00:00+00:00,3830023075.9360113,1881911405.8897767,1948111670.0462346,
827,2021-07-04 00:00:00+00:00,3434454956.5283446,1724925477.6829846,1709529478.84536,
828,2021-07-05 00:00:00+00:00,5071422214.537743,2618003697.338007,2453418517.199735,
829,2021-07-06 00:00:00+00:00,4993057884.087815,2501447518.6721563,2491610365.4156585,182463899.63760376
830,2021-07-07 00:00:00+00:00,4602870466.726364,2410348651.8492494,2192521814.8771143,179489125.0
831,2021-07-08 00:00:00+00:00,6123404460.840639,3034195766.99487,3089208693.8457685,196890917.25883484
832,2021-07-09 00:00:00+00:00,4175494941.6083007,1999214751.8438995,2176280189.764401,101771353.59592438
833,2021-07-10 00:00:00+00:00,3327496313.4948072,1646353700.0175757,1681142613.4772315,
834,2021-07-11 00:00:00+00:00,2528492647.3677764,1170263760.4943967,1358228886.8733797,
835,2021-07-12 00:00:00+00:00,4040069434.044182,2013271339.6323717,2026798094.4118102,111753358.41522217
836,2021-07-13 00:00:00+00:00,3273287735.14308,1676233637.0878332,1597054098.055247,132034318.09215546
837,2021-07-14 00:00:00+00:00,3677555815.8548117,1877742959.052845,1799812856.801967,153724027.20050812
838,2021-07-15 00:00:00+00:00,3836536819.7128487,1958026979.6632833,1878509840.049565,213273195.82557678
839,2021-07-16 00:00:00+00:00,4427104898.021743,2336021806.620098,2091083091.401645,115167343.35365295
840,2021-07-17 00:00:00+00:00,3116195451.370354,1598934479.6557834,1517260971.714571,
841,2021-07-18 00:00:00+00:00,2995889262.241919,1519750425.6619332,1476138836.579986,
842,2021-07-19 00:00:00+00:00,3110655718.5570693,1694991202.2544668,1415664516.3026025,176669200.0
843,2021-07-20 00:00:00+00:00,4277934548.2667828,2326886929.552113,1951047618.7146695,185150967.52853394
844,2021-07-21 00:00:00+00:00,5372304775.894945,2581677956.52119,2790626819.3737545,204509906.39476776
845,2021-07-22 00:00:00+00:00,3282702788.318284,1637059508.6288755,1645643279.6894085,173660995.1019287
846,2021-07-23 00:00:00+00:00,5365920618.436648,2778964673.293581,2586955945.1430674,134098363.63391876
847,2021-07-24 00:00:00+00:00,4153109606.85737,2015545430.249465,2137564176.6079047,
848,2021-07-25 00:00:00+00:00,3432354419.176736,1600113603.869844,1832240815.306892,
849,2021-07-26 00:00:00+00:00,15041890972.192703,7275087349.713616,7766803622.479086,563678037.272644
850,2021-07-27 00:00:00+00:00,8447681402.375297,4108273461.7218294,4339407940.653467,322093200.0
851,2021-07-28 00:00:00+00:00,10198972594.082956,5148239012.576592,5050733581.506365,358987277.1141052
852,2021-07-29 00:00:00+00:00,5325299479.602654,2694005564.1698675,2631293915.432787,234747110.4888916
853,2021-07-30 00:00:00+00:00,7659799572.668735,3769383468.0153346,3890416104.6533995,171830574.51934814
854,2021-07-31 00:00:00+00:00,5384121387.203017,2642798822.712298,2741322564.490719,
855,2021-08-01 00:00:00+00:00,5783497819.708615,3036120208.1680326,2747377611.5405827,
856,2021-08-02 00:00:00+00:00,4973262201.587744,2541725924.452551,2431536277.1351924,184474670.80497742
857,2021-08-03 00:00:00+00:00,5096056555.6547365,2657248798.0583816,2438807757.596355,188807445.97187042
858,2021-08-04 00:00:00+00:00,5066341546.6150465,2492652020.2862773,2573689526.3287687,608443760.7940674
859,2021-08-05 00:00:00+00:00,8367972395.826931,4147289125.061865,4220683270.765066,202805575.34179688
860,2021-08-06 00:00:00+00:00,8245084331.950895,3989442956.6383357,4255641375.3125596,255300085.10017395
861,2021-08-07 00:00:00+00:00,8631515211.166779,4134449868.180134,4497065342.986645,
862,2021-08-08 00:00:00+00:00,7679147942.105803,3877101195.486671,3802046746.6191316,
863,2021-08-09 00:00:00+00:00,8729270686.549616,4319145599.431708,4410125087.117907,316152398.74305725
864,2021-08-10 00:00:00+00:00,6259840768.357721,3199377765.473561,3060463002.884161,228126775.3955841
865,2021-08-11 00:00:00+00:00,5911751911.504093,2937871311.9376493,2973880599.5664434,216428154.05273438
866,2021-08-12 00:00:00+00:00,6590037213.632142,3416953813.185472,3173083400.4466705,172227139.01062012
867,2021-08-13 00:00:00+00:00,5702206008.057035,2667962216.8339562,3034243791.223079,160666696.52748108
868,2021-08-14 00:00:00+00:00,5514786043.023836,2828261990.42019,2686524052.6036463,
869,2021-08-15 00:00:00+00:00,5060911807.636702,2564936570.928936,2495975236.707765,
870,2021-08-16 00:00:00+00:00,6051859356.118183,3005189543.3670464,3046669812.751137,153402796.44737244
871,2021-08-17 00:00:00+00:00,6353462242.651023,3263155655.678317,3090306586.972706,182841326.0482788
