DATE,BOGMBASEW_CHG
2000-02-16,352
2000-02-23,0
2000-03-01,-1327
2000-03-08,0
2000-03-15,-193
2000-03-22,0
2000-03-29,557
2000-04-05,0
2000-04-12,1168
2000-04-19,0
2000-04-26,447
2000-05-03,0
2000-05-10,998
2000-05-17,0
2000-05-24,1304
2000-05-31,0
2000-06-07,1064
2000-06-14,0
2000-06-21,-1586
2000-06-28,0
2000-07-05,5612
2000-07-12,0
2000-07-19,-3768
2000-07-26,0
2000-08-02,457
2000-08-09,0
2000-08-16,-226
2000-08-23,0
2000-08-30,1691
2000-09-06,0
2000-09-13,-685
2000-09-20,0
2000-09-27,-936
2000-10-04,0
2000-10-11,2954
2000-10-18,0
2000-10-25,-744
2000-11-01,0
2000-11-08,2615
2000-11-15,0
2000-11-22,5040
2000-11-29,0
2000-12-06,860
2000-12-13,0
2000-12-20,6799
2000-12-27,0
2001-01-03,4968
2001-01-10,0
2001-01-17,-8569
2001-01-24,0
2001-01-31,-4479
2001-02-07,0
2001-02-14,4068
2001-02-21,0
2001-02-28,1547
2001-03-07,0
2001-03-14,848
2001-03-21,0
2001-03-28,1237
2001-04-04,0
2001-04-11,1401
2001-04-18,0
2001-04-25,946
2001-05-02,0
2001-05-09,1612
2001-05-16,0
2001-05-23,3950
2001-05-30,0
2001-06-06,576
2001-06-13,0
2001-06-20,-221
2001-06-27,0
2001-07-04,6021
2001-07-11,0
2001-07-18,1487
2001-07-25,0
2001-08-01,3125
2001-08-08,0
2001-08-15,2435
2001-08-22,0
2001-08-29,5473
2001-09-05,0
2001-09-12,40472
2001-09-19,0
2001-09-26,-36664
2001-10-03,0
2001-10-10,3678
2001-10-17,0
2001-10-24,2400
2001-10-31,0
2001-11-07,-1044
2001-11-14,0
2001-11-21,6822
2001-11-28,0
2001-12-05,683
2001-12-12,0
2001-12-19,10636
2001-12-26,0
2002-01-02,6007
2002-01-09,0
2002-01-16,-7751
2002-01-23,0
2002-01-30,-2592
2002-02-06,0
2002-02-13,5684
2002-02-20,0
2002-02-27,2050
2002-03-06,0
2002-03-13,622
2002-03-20,0
2002-03-27,3194
2002-04-03,0
2002-04-10,2118
2002-04-17,0
2002-04-24,826
2002-05-01,0
2002-05-08,1475
2002-05-15,0
2002-05-22,5869
2002-05-29,0
2002-06-05,1056
2002-06-12,0
2002-06-19,957
2002-06-26,0
2002-07-03,6830
2002-07-10,0
2002-07-17,-1266
2002-07-24,0
2002-07-31,-445
2002-08-07,0
2002-08-14,-64
